locus_tag	ftype	length_bp	gene	EC_number	COG	product
JKDPDCFA_00376	CDS	342	cutA		COG1324	Divalent-cation tolerance protein CutA
JKDPDCFA_00377	CDS	888				hypothetical protein
JKDPDCFA_00378	CDS	2727	secA		COG0653	Protein translocase subunit SecA
JKDPDCFA_00379	CDS	372	ndhC	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 3
JKDPDCFA_00380	CDS	537	ndhK_1	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit K, chloroplastic
JKDPDCFA_00381	CDS	555	ndhJ	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit J, chloroplastic
JKDPDCFA_00382	CDS	1272	nqo4	7.1.1.-	COG0649	NADH-quinone oxidoreductase subunit 4
JKDPDCFA_00383	CDS	507	hndA	1.12.1.3	COG1905	NADP-reducing hydrogenase subunit HndA
JKDPDCFA_00384	CDS	1854				hypothetical protein
JKDPDCFA_00385	CDS	2712	sfrA	1.-.-.-	COG3383	NADPH-Fe(3+) oxidoreductase subunit alpha
JKDPDCFA_00386	CDS	1014	nuoH	7.1.1.-	COG1005	NADH-quinone oxidoreductase subunit H
JKDPDCFA_00387	CDS	561	nuoI	7.1.1.-	COG1143	NADH-quinone oxidoreductase subunit I
JKDPDCFA_00388	CDS	510	nuoJ	7.1.1.-	COG0839	NADH-quinone oxidoreductase subunit J
JKDPDCFA_00389	CDS	303	nuoK	7.1.1.-	COG0713	NADH-quinone oxidoreductase subunit K
JKDPDCFA_00390	CDS	1920	nuoL	7.1.1.-	COG1009	NADH-quinone oxidoreductase subunit L
JKDPDCFA_00391	CDS	1503	nuoM	7.1.1.-	COG1008	NADH-quinone oxidoreductase subunit M
JKDPDCFA_00392	CDS	1446	nuoN	7.1.1.-	COG1007	NADH-quinone oxidoreductase subunit N
JKDPDCFA_00393	CDS	669	lexA_1	3.4.21.88		LexA repressor
JKDPDCFA_00394	CDS	471				hypothetical protein
JKDPDCFA_00395	CDS	1518	nrgA			Ammonium transporter
JKDPDCFA_00396	CDS	339	glnB_1		COG0347	Nitrogen regulatory protein P-II
JKDPDCFA_00397	CDS	3264				hypothetical protein
JKDPDCFA_00398	CDS	813		1.5.5.2	COG0506	Proline dehydrogenase
JKDPDCFA_00399	CDS	243				putative Fe(2+)-trafficking protein
JKDPDCFA_00400	CDS	474				hypothetical protein
JKDPDCFA_00401	CDS	3108				hypothetical protein
JKDPDCFA_00402	CDS	1188				hypothetical protein
JKDPDCFA_00403	CDS	1923				hypothetical protein
JKDPDCFA_00404	CDS	378				hypothetical protein
JKDPDCFA_00405	CDS	495				hypothetical protein
JKDPDCFA_00406	CDS	585			COG2200	putative signaling protein
JKDPDCFA_00407	CDS	321				hypothetical protein
JKDPDCFA_00408	CDS	642				hypothetical protein
JKDPDCFA_00409	CDS	1041				hypothetical protein
JKDPDCFA_00410	CDS	591				hypothetical protein
JKDPDCFA_00411	CDS	1359				hypothetical protein
JKDPDCFA_00412	CDS	1029				hypothetical protein
JKDPDCFA_00413	CDS	480	xcpT		COG2165	Type II secretion system protein G
JKDPDCFA_00414	CDS	1203	epsF		COG1459	Type II secretion system protein F
JKDPDCFA_00415	CDS	1716				hypothetical protein
JKDPDCFA_00416	CDS	1668	sctC_1			Type 3 secretion system secretin
JKDPDCFA_00417	CDS	468				hypothetical protein
JKDPDCFA_00418	CDS	471				hypothetical protein
JKDPDCFA_00419	CDS	213				hypothetical protein
JKDPDCFA_00420	tRNA	75				tRNA-Gly(ccc)
JKDPDCFA_00421	CDS	831				hypothetical protein
JKDPDCFA_00422	CDS	609				hypothetical protein
JKDPDCFA_00423	CDS	810	tsdA_1	1.8.2.2	COG3258	Thiosulfate dehydrogenase
JKDPDCFA_00424	CDS	810	tsdA_2	1.8.2.2	COG3258	Thiosulfate dehydrogenase
JKDPDCFA_00425	CDS	678				hypothetical protein
JKDPDCFA_00426	CDS	2874				hypothetical protein
JKDPDCFA_00427	CDS	522				hypothetical protein
JKDPDCFA_00428	CDS	1581				hypothetical protein
JKDPDCFA_00429	CDS	1056				hypothetical protein
JKDPDCFA_00430	CDS	2892	bepA_2	3.4.-.-		Beta-barrel assembly-enhancing protease
JKDPDCFA_00431	CDS	1422	bcsB			Cyclic di-GMP-binding protein
JKDPDCFA_00432	CDS	885				hypothetical protein
JKDPDCFA_00433	CDS	2238	bcsA_1	2.4.1.12	COG1215	Cellulose synthase catalytic subunit [UDP-forming]
JKDPDCFA_00434	CDS	531				hypothetical protein
JKDPDCFA_00435	CDS	141				hypothetical protein
JKDPDCFA_00436	CDS	819	tsdA_3	1.8.2.2	COG3258	Thiosulfate dehydrogenase
JKDPDCFA_00437	CDS	2130				hypothetical protein
JKDPDCFA_00438	CDS	264				hypothetical protein
JKDPDCFA_00439	CDS	540				hypothetical protein
JKDPDCFA_00440	CDS	618	lexA_2	3.4.21.88		LexA repressor
JKDPDCFA_00441	CDS	1647	pgi	5.3.1.9	COG0166	Glucose-6-phosphate isomerase
JKDPDCFA_00442	CDS	441				hypothetical protein
JKDPDCFA_00443	CDS	177				hypothetical protein
JKDPDCFA_00444	CDS	378				hypothetical protein
JKDPDCFA_00445	CDS	2568	cnrA_2			Nickel and cobalt resistance protein CnrA
JKDPDCFA_00446	CDS	681	mdtC_1			Multidrug resistance protein MdtC
JKDPDCFA_00447	CDS	636				hypothetical protein
JKDPDCFA_00448	CDS	603				hypothetical protein
JKDPDCFA_00449	CDS	312				hypothetical protein
JKDPDCFA_00450	CDS	1320	arsB		COG1055	Arsenical pump membrane protein
JKDPDCFA_00451	CDS	810	arsC	1.20.4.4		Arsenate reductase
JKDPDCFA_00452	CDS	507				hypothetical protein
JKDPDCFA_00453	CDS	498				hypothetical protein
JKDPDCFA_00454	CDS	1818				hypothetical protein
JKDPDCFA_00455	CDS	378				hypothetical protein
JKDPDCFA_00456	CDS	879	efeU		COG0672	Ferrous iron permease EfeU
JKDPDCFA_00457	CDS	1440		3.1.-.-	COG1236	Ribonuclease
JKDPDCFA_00458	CDS	2703	aas	6.2.1.20		Bifunctional protein Aas
JKDPDCFA_00459	CDS	630				hypothetical protein
JKDPDCFA_00460	CDS	510	nsrR_2			HTH-type transcriptional repressor NsrR
JKDPDCFA_00461	CDS	231				hypothetical protein
JKDPDCFA_00462	CDS	624	hmp	1.14.12.17		Flavohemoprotein
JKDPDCFA_00463	CDS	363				hypothetical protein
JKDPDCFA_00464	CDS	195				hypothetical protein
JKDPDCFA_00465	CDS	402	vhb			Bacterial hemoglobin
JKDPDCFA_00466	CDS	1404	algC	5.4.2.2	COG1109	Phosphomannomutase/phosphoglucomutase
JKDPDCFA_00467	CDS	1476	algA		COG0662	Alginate biosynthesis protein AlgA
JKDPDCFA_00468	CDS	273				hypothetical protein
JKDPDCFA_00469	CDS	687				hypothetical protein
JKDPDCFA_00470	CDS	834				hypothetical protein
JKDPDCFA_00471	CDS	417	era_1		COG1159	GTPase Era
JKDPDCFA_00472	CDS	549	era_2		COG1159	GTPase Era
JKDPDCFA_00473	CDS	741	recO			DNA repair protein RecO
JKDPDCFA_00474	CDS	654				hypothetical protein
JKDPDCFA_00475	CDS	999				hypothetical protein
JKDPDCFA_00476	CDS	1176	rlmI	2.1.1.191	COG1092	Ribosomal RNA large subunit methyltransferase I
JKDPDCFA_00477	CDS	1830	typA		COG1217	GTP-binding protein TypA/BipA 
JKDPDCFA_00478	CDS	657				hypothetical protein
JKDPDCFA_00479	CDS	330	pqqB			Coenzyme PQQ synthesis protein B
JKDPDCFA_00480	CDS	495				hypothetical protein
JKDPDCFA_00481	CDS	2448	metH	2.1.1.13	COG0646	Methionine synthase
JKDPDCFA_00482	CDS	714				hypothetical protein
JKDPDCFA_00483	CDS	1389	thiC	4.1.99.17	COG0422	Phosphomethylpyrimidine synthase
JKDPDCFA_00484	CDS	3081				hypothetical protein
JKDPDCFA_00485	CDS	1899	uvrC		COG0322	UvrABC system protein C
JKDPDCFA_00486	CDS	255				hypothetical protein
JKDPDCFA_00487	CDS	873	aroE	1.1.1.25	COG0169	Shikimate dehydrogenase (NADP(+))
JKDPDCFA_00488	CDS	930	ftsY		COG0552	Signal recognition particle receptor FtsY
JKDPDCFA_00489	CDS	510	ybeY	3.1.-.-		Endoribonuclease YbeY
JKDPDCFA_00490	CDS	1584	rny_2	3.1.-.-		Ribonuclease Y
JKDPDCFA_00491	CDS	996			COG1702	PhoH-like protein
JKDPDCFA_00492	CDS	474				hypothetical protein
JKDPDCFA_00493	CDS	792	pppA		COG1989	Prepilin peptidase PppA
JKDPDCFA_00494	CDS	318				hypothetical protein
JKDPDCFA_00495	CDS	828		2.7.4.-	COG2326	Polyphosphate:AMP/ADP phosphotransferase
JKDPDCFA_00496	CDS	924				hypothetical protein
JKDPDCFA_00497	tRNA	76				tRNA-Thr(tgt)
JKDPDCFA_00498	CDS	981	cheV		COG0784	Chemotaxis protein CheV
JKDPDCFA_00499	CDS	603				hypothetical protein
JKDPDCFA_00500	CDS	459				hypothetical protein
JKDPDCFA_00501	CDS	1449	nusA			Transcription termination/antitermination protein NusA
JKDPDCFA_00502	CDS	2625	infB			Translation initiation factor IF-2
JKDPDCFA_00503	CDS	300				hypothetical protein
JKDPDCFA_00504	CDS	396	rbfA			Ribosome-binding factor A
JKDPDCFA_00505	CDS	978	truB	5.4.99.25		tRNA pseudouridine synthase B
JKDPDCFA_00506	CDS	270	rpsO			30S ribosomal protein S15
JKDPDCFA_00507	CDS	2142	pnp	2.7.7.8	COG1185	Polyribonucleotide nucleotidyltransferase
JKDPDCFA_00508	CDS	120				hypothetical protein
JKDPDCFA_00509	CDS	1236		3.4.24.-	COG0612	putative zinc protease
JKDPDCFA_00510	CDS	768	pdxJ	2.6.99.2	COG0854	Pyridoxine 5'-phosphate synthase
JKDPDCFA_00511	CDS	402	acpS	2.7.8.7	COG0736	Holo-[acyl-carrier-protein] synthase
JKDPDCFA_00512	CDS	1557	nnr		COG0062	Bifunctional NAD(P)H-hydrate repair enzyme Nnr
JKDPDCFA_00513	CDS	792				hypothetical protein
JKDPDCFA_00514	CDS	258				hypothetical protein
JKDPDCFA_00515	CDS	2532	mutS		COG0249	DNA mismatch repair protein MutS
JKDPDCFA_00516	CDS	1146				hypothetical protein
JKDPDCFA_00517	CDS	1173				hypothetical protein
JKDPDCFA_00518	CDS	798	fabI	1.3.1.9	COG0623	Enoyl-[acyl-carrier-protein] reductase [NADH] FabI
JKDPDCFA_00519	CDS	930	petC_1	7.1.1.6		Cytochrome b6-f complex iron-sulfur subunit
JKDPDCFA_00520	CDS	1377	petB_1			Cytochrome b6
JKDPDCFA_00521	CDS	252				hypothetical protein
JKDPDCFA_00522	CDS	189				hypothetical protein
JKDPDCFA_00523	CDS	387	yabJ	3.5.99.10	COG0251	2-iminobutanoate/2-iminopropanoate deaminase
JKDPDCFA_00524	CDS	1581	recG	3.6.4.12		ATP-dependent DNA helicase RecG
JKDPDCFA_00525	CDS	597	mfd_1	3.6.4.-		Transcription-repair-coupling factor
JKDPDCFA_00526	CDS	360				hypothetical protein
JKDPDCFA_00527	CDS	948	ppx2	3.6.1.11	COG0248	Exopolyphosphatase 2
JKDPDCFA_00528	CDS	1764	lapB_1			Lipopolysaccharide assembly protein B
JKDPDCFA_00529	CDS	1083	pcnB	2.7.7.19		Poly(A) polymerase I
JKDPDCFA_00530	CDS	501				hypothetical protein
JKDPDCFA_00531	CDS	3084	mdtC_2			Multidrug resistance protein MdtC
JKDPDCFA_00532	CDS	621				hypothetical protein
JKDPDCFA_00533	CDS	441	zur		COG0735	Zinc uptake regulation protein
JKDPDCFA_00534	CDS	465				hypothetical protein
JKDPDCFA_00535	CDS	621				hypothetical protein
JKDPDCFA_00536	CDS	768				hypothetical protein
JKDPDCFA_00537	CDS	1776	rpsA		COG0539	30S ribosomal protein S1
JKDPDCFA_00538	CDS	1209	ihfB			Integration host factor subunit beta
JKDPDCFA_00539	CDS	1335	ffh		COG0541	Signal recognition particle protein
JKDPDCFA_00540	CDS	246	rpsP		COG0228	30S ribosomal protein S16
JKDPDCFA_00541	CDS	231				hypothetical protein
JKDPDCFA_00542	CDS	726	trmD	2.1.1.228		tRNA (guanine-N(1)-)-methyltransferase
JKDPDCFA_00543	CDS	357				hypothetical protein
JKDPDCFA_00544	CDS	687	rnhB	3.1.26.4	COG0164	Ribonuclease HII
JKDPDCFA_00545	CDS	906				hypothetical protein
JKDPDCFA_00546	CDS	1197				hypothetical protein
JKDPDCFA_00547	CDS	1320				hypothetical protein
JKDPDCFA_00548	CDS	264	groS1		COG0234	10 kDa chaperonin 1
JKDPDCFA_00549	CDS	1626	groL		COG0459	60 kDa chaperonin
JKDPDCFA_00550	CDS	333	trxA		COG0526	Thioredoxin
JKDPDCFA_00551	CDS	1695	recN		COG0497	DNA repair protein RecN
JKDPDCFA_00552	CDS	2748				hypothetical protein
JKDPDCFA_00553	CDS	1353	speA	4.1.1.19	COG1982	Arginine decarboxylase
JKDPDCFA_00554	CDS	597	speE	2.5.1.104	COG0421	Polyamine aminopropyltransferase
JKDPDCFA_00555	CDS	231				hypothetical protein
JKDPDCFA_00556	CDS	465	speH	4.1.1.50	COG1586	S-adenosylmethionine decarboxylase proenzyme
JKDPDCFA_00557	CDS	2223				hypothetical protein
JKDPDCFA_00558	CDS	615				hypothetical protein
JKDPDCFA_00559	CDS	735				hypothetical protein
JKDPDCFA_00560	CDS	543	pgpA	3.1.3.27	COG1267	Phosphatidylglycerophosphatase A
JKDPDCFA_00561	CDS	1083	recA		COG0468	Protein RecA
JKDPDCFA_00562	CDS	2676	alaS	6.1.1.7	COG0013	Alanine--tRNA ligase
JKDPDCFA_00563	CDS	285				hypothetical protein
JKDPDCFA_00564	CDS	516	yqgF	3.1.-.-		Putative pre-16S rRNA nuclease
JKDPDCFA_00565	CDS	1026	mltG	4.2.2.-	COG1559	Endolytic murein transglycosylase
JKDPDCFA_00566	CDS	2715	valS	6.1.1.9	COG0525	Valine--tRNA ligase
JKDPDCFA_00567	CDS	522	nadC_1	2.4.2.19	COG0157	putative nicotinate-nucleotide pyrophosphorylase [carboxylating]
JKDPDCFA_00568	CDS	324	nadC_2	2.4.2.19	COG0157	putative nicotinate-nucleotide pyrophosphorylase [carboxylating]
JKDPDCFA_00569	CDS	768	birA	6.3.4.15		Bifunctional ligase/repressor BirA
JKDPDCFA_00570	CDS	780	coaX	2.7.1.33		Type III pantothenate kinase
JKDPDCFA_00571	CDS	183				hypothetical protein
JKDPDCFA_00572	CDS	4350				hypothetical protein
JKDPDCFA_00573	CDS	1218				IS256 family transposase ISPeth3
JKDPDCFA_00574	CDS	990	emrA_1			Colistin resistance protein EmrA
JKDPDCFA_00575	CDS	1374				hypothetical protein
JKDPDCFA_00576	CDS	963	mdh	1.1.1.37	COG0039	Malate dehydrogenase
JKDPDCFA_00577	CDS	588				hypothetical protein
JKDPDCFA_00578	CDS	639	lptA			Lipopolysaccharide export system protein LptA
JKDPDCFA_00579	CDS	747	lptB	3.6.3.-	COG1137	Lipopolysaccharide export system ATP-binding protein LptB
JKDPDCFA_00580	CDS	1461	rpoN		COG1508	RNA polymerase sigma-54 factor
JKDPDCFA_00581	CDS	531	hpf			Ribosome hibernation promotion factor
JKDPDCFA_00582	CDS	867				Nucleotide-binding protein
JKDPDCFA_00583	CDS	486				hypothetical protein
JKDPDCFA_00584	CDS	1206	aroC	4.2.3.5	COG0082	Chorismate synthase
JKDPDCFA_00585	CDS	552	aroL	2.7.1.71		Shikimate kinase 2
JKDPDCFA_00586	CDS	1095	aroB	4.2.3.4	COG0337	3-dehydroquinate synthase
JKDPDCFA_00587	CDS	1266				hypothetical protein
JKDPDCFA_00588	CDS	372				hypothetical protein
JKDPDCFA_00589	CDS	783				hypothetical protein
JKDPDCFA_00590	CDS	405				hypothetical protein
JKDPDCFA_00591	CDS	450	queF	1.7.1.13		NADPH-dependent 7-cyano-7-deazaguanine reductase
JKDPDCFA_00592	CDS	522				hypothetical protein
JKDPDCFA_00593	tRNA	76				tRNA-Val(tac)
JKDPDCFA_00594	tRNA	77				tRNA-Asp(gtc)
JKDPDCFA_00595	CDS	672	tolQ_1		COG0811	Tol-Pal system protein TolQ
JKDPDCFA_00596	CDS	447	exbD		COG0848	Biopolymer transport protein ExbD
JKDPDCFA_00597	CDS	837				hypothetical protein
JKDPDCFA_00598	CDS	1344	tolB_1			Tol-Pal system protein TolB
JKDPDCFA_00599	CDS	651	cpoB_1		COG1729	Cell division coordinator CpoB
JKDPDCFA_00600	CDS	1905	mutL			DNA mismatch repair protein MutL
JKDPDCFA_00601	CDS	696	miaA_1	2.5.1.75		tRNA dimethylallyltransferase
JKDPDCFA_00602	CDS	228	miaA_2	2.5.1.75	COG0324	tRNA dimethylallyltransferase
JKDPDCFA_00603	CDS	903	MTAP	2.4.2.1		S-methyl-5'-thioadenosine phosphorylase
JKDPDCFA_00604	CDS	942	RBKS	2.7.1.15		Ribokinase
JKDPDCFA_00605	CDS	765	cpoB_2			Cell division coordinator CpoB
JKDPDCFA_00606	CDS	1008				hypothetical protein
JKDPDCFA_00607	CDS	1008				hypothetical protein
JKDPDCFA_00608	tRNA	75				tRNA-Thr(cgt)
JKDPDCFA_00609	CDS	1125				hypothetical protein
JKDPDCFA_00610	CDS	1353				hypothetical protein
JKDPDCFA_00611	CDS	384				hypothetical protein
JKDPDCFA_00612	CDS	729				hypothetical protein
JKDPDCFA_00613	CDS	648				hypothetical protein
JKDPDCFA_00614	CDS	2931	recD2_1	3.6.4.12		ATP-dependent RecD-like DNA helicase
JKDPDCFA_00615	CDS	372				hypothetical protein
JKDPDCFA_00616	CDS	390				hypothetical protein
JKDPDCFA_00617	CDS	399				hypothetical protein
JKDPDCFA_00618	CDS	3183	cusA		COG3696	Cation efflux system protein CusA
JKDPDCFA_00619	CDS	1260	cusB_1			Cation efflux system protein CusB
JKDPDCFA_00620	CDS	1443				hypothetical protein
JKDPDCFA_00621	CDS	429				hypothetical protein
JKDPDCFA_00622	CDS	204				hypothetical protein
JKDPDCFA_00623	CDS	312				hypothetical protein
JKDPDCFA_00624	CDS	1068	xerC_1			Tyrosine recombinase XerC
JKDPDCFA_00625	CDS	969				hypothetical protein
JKDPDCFA_00626	CDS	999				hypothetical protein
JKDPDCFA_00627	CDS	2442	clpC		COG0542	Negative regulator of genetic competence ClpC/MecB
JKDPDCFA_00628	CDS	1038	tsaD	2.3.1.234	COG0533	tRNA N6-adenosine threonylcarbamoyltransferase
JKDPDCFA_00629	CDS	1788	argS	6.1.1.19		Arginine--tRNA ligase
JKDPDCFA_00630	CDS	1137	tgt	2.4.2.29		Queuine tRNA-ribosyltransferase
JKDPDCFA_00631	CDS	291				hypothetical protein
JKDPDCFA_00632	CDS	1575	secD		COG0342	Protein translocase subunit SecD
JKDPDCFA_00633	CDS	966	secF		COG0341	Protein translocase subunit SecF
JKDPDCFA_00634	CDS	114				hypothetical protein
JKDPDCFA_00635	CDS	1650	recJ	3.1.-.-	COG0608	Single-stranded-DNA-specific exonuclease RecJ
JKDPDCFA_00636	CDS	2289	relA	2.7.6.5	COG0317	GTP pyrophosphokinase
JKDPDCFA_00637	CDS	909	fdhE			Protein FdhE
JKDPDCFA_00638	CDS	252				hypothetical protein
JKDPDCFA_00639	CDS	696	betI			HTH-type transcriptional regulator BetI
JKDPDCFA_00640	CDS	603	pcrC			Perchlorate reductase subunit gamma
JKDPDCFA_00641	CDS	954	emrA_2			Colistin resistance protein EmrA
JKDPDCFA_00642	CDS	1518	farB_1			Fatty acid resistance protein FarB
JKDPDCFA_00643	CDS	1395	tolC_1		COG1538	Outer membrane protein TolC
JKDPDCFA_00644	CDS	993	emrK		COG1566	putative multidrug resistance protein EmrK
JKDPDCFA_00645	CDS	1623	farB_2			Fatty acid resistance protein FarB
JKDPDCFA_00646	CDS	1059	hrcA		COG1420	Heat-inducible transcription repressor HrcA
JKDPDCFA_00647	CDS	483	grpE		COG0576	Protein GrpE
JKDPDCFA_00648	CDS	1923	dnaK			Chaperone protein DnaK
JKDPDCFA_00649	CDS	1119	dnaJ_1		COG0484	Chaperone protein DnaJ
JKDPDCFA_00650	CDS	864				hypothetical protein
JKDPDCFA_00651	CDS	447				hypothetical protein
JKDPDCFA_00652	CDS	528	tpm	2.1.1.67		Thiopurine S-methyltransferase
JKDPDCFA_00653	CDS	540	cobP	2.7.1.156		Bifunctional adenosylcobalamin biosynthesis protein CobP
JKDPDCFA_00654	CDS	1092	cobT	2.4.2.21		Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase
JKDPDCFA_00655	CDS	783	cobS	2.7.8.26	COG0368	Adenosylcobinamide-GDP ribazoletransferase
JKDPDCFA_00656	CDS	411				hypothetical protein
JKDPDCFA_00657	CDS	255				hypothetical protein
JKDPDCFA_00658	CDS	387				hypothetical protein
JKDPDCFA_00659	CDS	447				hypothetical protein
JKDPDCFA_00660	CDS	327				hypothetical protein
JKDPDCFA_00661	CDS	1017	iolS_1	1.1.1.-	COG0667	Aldo-keto reductase IolS
JKDPDCFA_00662	CDS	669	cobC	3.1.3.73	COG0406	Adenosylcobalamin/alpha-ribazole phosphatase
JKDPDCFA_00663	CDS	1416	cbiA	6.3.5.11	COG1797	Cobyrinate a,c-diamide synthase
JKDPDCFA_00664	CDS	1005				hypothetical protein
JKDPDCFA_00665	CDS	1011	icd_1	1.1.1.42	COG0473	Isocitrate dehydrogenase [NADP]
JKDPDCFA_00666	CDS	351	icd_2	1.1.1.42	COG0473	Isocitrate dehydrogenase [NADP]
JKDPDCFA_00667	CDS	195				hypothetical protein
JKDPDCFA_00668	CDS	2400				hypothetical protein
JKDPDCFA_00669	CDS	606				hypothetical protein
JKDPDCFA_00670	CDS	273				hypothetical protein
JKDPDCFA_00671	CDS	1452				hypothetical protein
JKDPDCFA_00672	CDS	573				hypothetical protein
JKDPDCFA_00673	CDS	1077				hypothetical protein
JKDPDCFA_00674	CDS	552				hypothetical protein
JKDPDCFA_00675	CDS	1905				hypothetical protein
JKDPDCFA_00676	CDS	1026				hypothetical protein
JKDPDCFA_00677	CDS	2514	virB4		COG3451	Type IV secretion system protein virB4
JKDPDCFA_00678	CDS	336				hypothetical protein
JKDPDCFA_00679	CDS	330				hypothetical protein
JKDPDCFA_00680	CDS	999	ptlH		COG0630	Type IV secretion system protein PtlH
JKDPDCFA_00681	CDS	375				hypothetical protein
JKDPDCFA_00682	CDS	1449				hypothetical protein
JKDPDCFA_00683	CDS	528				hypothetical protein
JKDPDCFA_00684	CDS	1236				hypothetical protein
JKDPDCFA_00685	CDS	1719				hypothetical protein
JKDPDCFA_00686	CDS	1908				hypothetical protein
JKDPDCFA_00687	CDS	1086				hypothetical protein
JKDPDCFA_00688	CDS	195				hypothetical protein
JKDPDCFA_00689	CDS	225				hypothetical protein
JKDPDCFA_00690	CDS	930				hypothetical protein
JKDPDCFA_00691	CDS	705	exoX	3.1.11.-	COG0847	Exodeoxyribonuclease 10
JKDPDCFA_00692	CDS	855				hypothetical protein
JKDPDCFA_00693	CDS	225				hypothetical protein
JKDPDCFA_00694	CDS	1230				hypothetical protein
JKDPDCFA_00695	CDS	441				hypothetical protein
JKDPDCFA_00696	CDS	525				hypothetical protein
JKDPDCFA_00697	CDS	531				hypothetical protein
JKDPDCFA_00698	CDS	636				hypothetical protein
JKDPDCFA_00699	CDS	156				hypothetical protein
JKDPDCFA_00700	CDS	333				hypothetical protein
JKDPDCFA_00701	CDS	1095	pknD	2.7.11.1	COG0515	Serine/threonine-protein kinase PknD
JKDPDCFA_00702	CDS	96				hypothetical protein
JKDPDCFA_00703	CDS	828				hypothetical protein
JKDPDCFA_00704	CDS	186				hypothetical protein
JKDPDCFA_00705	CDS	135				hypothetical protein
JKDPDCFA_00706	CDS	1815				hypothetical protein
JKDPDCFA_00707	CDS	543				hypothetical protein
JKDPDCFA_00708	CDS	732				hypothetical protein
JKDPDCFA_00709	CDS	468				hypothetical protein
JKDPDCFA_00710	CDS	207				hypothetical protein
JKDPDCFA_00711	CDS	1299				hypothetical protein
JKDPDCFA_00712	CDS	1098				IS200/IS605 family transposase ISTel3
JKDPDCFA_00713	CDS	627				hypothetical protein
JKDPDCFA_00714	CDS	219				hypothetical protein
JKDPDCFA_00715	CDS	165				hypothetical protein
JKDPDCFA_00716	CDS	711				hypothetical protein
JKDPDCFA_00717	CDS	201				hypothetical protein
JKDPDCFA_00718	CDS	552				hypothetical protein
JKDPDCFA_00719	CDS	333				hypothetical protein
JKDPDCFA_00720	CDS	291				hypothetical protein
JKDPDCFA_00721	CDS	1344	recD2_2	3.6.4.12		ATP-dependent RecD-like DNA helicase
JKDPDCFA_00722	CDS	279				hypothetical protein
JKDPDCFA_00723	CDS	465				hypothetical protein
JKDPDCFA_00724	CDS	729				hypothetical protein
JKDPDCFA_00725	CDS	579				hypothetical protein
JKDPDCFA_00726	CDS	249				hypothetical protein
JKDPDCFA_00727	CDS	1593	rep_1	3.6.4.12		ATP-dependent DNA helicase Rep
JKDPDCFA_00728	CDS	1167				IS200/IS605 family transposase ISTel3
JKDPDCFA_00729	CDS	240				hypothetical protein
JKDPDCFA_00730	CDS	663				hypothetical protein
JKDPDCFA_00731	CDS	414				hypothetical protein
JKDPDCFA_00732	CDS	327				hypothetical protein
JKDPDCFA_00733	CDS	666				hypothetical protein
JKDPDCFA_00734	CDS	1371				hypothetical protein
JKDPDCFA_00735	CDS	2952				hypothetical protein
JKDPDCFA_00736	CDS	363				hypothetical protein
JKDPDCFA_00737	CDS	633				hypothetical protein
JKDPDCFA_00738	CDS	345				hypothetical protein
JKDPDCFA_00739	CDS	612				hypothetical protein
JKDPDCFA_00740	CDS	354				hypothetical protein
JKDPDCFA_00741	CDS	2193				hypothetical protein
JKDPDCFA_00742	CDS	639				hypothetical protein
JKDPDCFA_00743	CDS	396				hypothetical protein
JKDPDCFA_00744	CDS	246				hypothetical protein
JKDPDCFA_00745	CDS	156				hypothetical protein
JKDPDCFA_00746	CDS	1932	vgb_1	4.2.99.-		Virginiamycin B lyase
JKDPDCFA_00747	CDS	966				hypothetical protein
JKDPDCFA_00748	CDS	462				hypothetical protein
JKDPDCFA_00749	CDS	1416				hypothetical protein
JKDPDCFA_00750	CDS	138				hypothetical protein
JKDPDCFA_00751	CDS	414				Single-stranded DNA-binding protein
JKDPDCFA_00752	CDS	459				hypothetical protein
JKDPDCFA_00753	CDS	624				hypothetical protein
JKDPDCFA_00754	CDS	1623	sctC_2			Type 3 secretion system secretin
JKDPDCFA_00755	CDS	747				hypothetical protein
JKDPDCFA_00756	CDS	303				hypothetical protein
JKDPDCFA_00757	CDS	315				hypothetical protein
JKDPDCFA_00758	CDS	477				hypothetical protein
JKDPDCFA_00759	CDS	261				hypothetical protein
JKDPDCFA_00760	CDS	447				hypothetical protein
JKDPDCFA_00761	CDS	672	rpfG_2	3.1.4.-	COG3437	Cyclic di-GMP phosphodiesterase response regulator RpfG
JKDPDCFA_00762	CDS	1191				hypothetical protein
JKDPDCFA_00763	CDS	1014	tmk_1	2.7.4.9		Thymidylate kinase
JKDPDCFA_00764	CDS	495				hypothetical protein
JKDPDCFA_00765	CDS	1263				hypothetical protein
JKDPDCFA_00766	CDS	1137				hypothetical protein
JKDPDCFA_00767	CDS	1011				hypothetical protein
JKDPDCFA_00768	CDS	285				hypothetical protein
JKDPDCFA_00769	CDS	1050				hypothetical protein
JKDPDCFA_00770	CDS	789				hypothetical protein
JKDPDCFA_00771	CDS	339				hypothetical protein
JKDPDCFA_00772	CDS	609				hypothetical protein
JKDPDCFA_00773	CDS	723				hypothetical protein
JKDPDCFA_00774	CDS	330				hypothetical protein
JKDPDCFA_00775	CDS	2010	rapA	3.6.4.-		RNA polymerase-associated protein RapA
JKDPDCFA_00776	CDS	1320				hypothetical protein
